Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.182;4.079;1.539.982;2,65;833;9,80;564;2,81;2207;2,47;475;1,31
2021-43;1.189;4.797;1.549.732;3,10;1136;13,36;650;3,24;2505;2,78;506;1,39
2021-44;1.182;5.207;1.539.354;3,38;1206;14,39;722;3,64;2691;3,01;588;1,63
2021-45;1.166;6.080;1.523.128;3,99;1493;18,16;898;4,63;2999;3,38;690;1,92
2021-46;1.068;6.265;1.398.684;4,48;1609;21,34;972;5,41;2994;3,67;690;2,11
2021-47;822;5.139;1.079.091;4,76;1236;21,05;804;5,68;2524;4,02;575;2,29
2021-48;;;;;;;;;;;;
2021-49;;;;;;;;;;;;
2021-50;;;;;;;;;;;;
2021-51;;;;;;;;;;;;
2021-52;;;;;;;;;;;;
2022-01;;;;;;;;;;;;
2022-02;;;;;;;;;;;;
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
