Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;40;347;58.253;5,96;89;24,15;66;8,41;153;4,69;39;2,77
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;132;1.128;182.139;6,19;216;21,17;126;5,31;674;6,34;112;2,67
P.A. di Bolzano;5;24;7.659;3,13;5;14,84;5;5,85;13;2,73;1;0,58
P. A. di Trento;4;20;5.805;3,45;3;9,06;4;4,58;11;3,28;2;1,60
Veneto;34;102;46.131;2,21;20;5,65;16;1,82;54;2,24;12;1,24
Friuli V.G.;6;78;7.715;10,11;9;9,91;1;0,41;56;19,01;12;8,53
Liguria;15;87;18.820;4,62;26;23,11;15;5,05;40;4,07;6;1,23
Emilia Romagna;38;354;46.948;7,54;101;33,29;61;8,94;173;6,58;19;1,76
Toscana;25;121;42.625;2,84;39;18,85;29;5,34;41;1,86;12;0,92
Umbria;11;37;11.428;3,24;16;15,61;14;5,58;6;1,00;1;0,53
Marche;9;51;12.259;4,16;4;7,63;4;2,75;36;5,02;7;2,25
Lazio;174;958;230.186;4,16;122;15,11;115;5,40;590;4,06;131;2,36
Abruzzo;35;231;41.638;5,55;44;23,35;30;5,63;122;4,85;35;3,77
Molise;10;18;10.363;1,74;-;-;1;1,78;14;2,05;3;1,11
Campania;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Puglia;50;297;62.947;4,72;48;13,81;53;6,42;157;4,33;39;2,61
Basilicata;10;5;12.597;0,40;1;0,57;4;1,71;-;-;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;100;521;120.432;4,33;85;19,21;95;7,82;218;2,93;123;4,17
Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
