Gruppo;Fascia di etˆ;Non vaccinati;Vaccinati con ciclo incompleto;Vaccinati con ciclo completo;Totale;% Non vaccinati;% Vaccinati con ciclo incompleto;% Vaccinati con ciclo completo
Popolazione (28/08/2021);12_39;6.602.412;3.128.125;7.705.018;17.435.555;37,87%;17,94%;44,19%
;40-59;4.684.966;1.379.625;12.382.591;18.447.182;25,40%;7,48%;67,12%
;60-79;1.765.005;463.925;11.343.849;13.572.779;13,00%;3,42%;83,58%
;80+;281.773;104.255;4.168.357;4.554.385;;;
;;;;;;;;
Diagnosi di Sars-CoV-2 (13/08/2021 - 12/09/2021);12_39;57.228;8.599;11.700;77.527;73,82%;11,09%;15,09%
;40-59;29.184;3.794;16.554;49.532;58,92%;7,66%;33,42%
;60-79;8.629;1.171;11.620;21.420;40,28%;5,47%;54,25%
;80+;1.859;164;5.116;7.139;;;
;;;;;;;;
Ospedalizzazioni (06/08/2021 - 05/09/2021);12_39;1.705;76;111;1.892;90,12%;4,02%;5,87%
;40-59;2.528;116;283;2.927;86,37%;3,96%;9,67%
;60-79;1.903;163;792;2.858;66,59%;5,70%;27,71%
;80+;705;49;1.145;1.899;37,12%;2,58%;60,29%
;;;;;;;;
Ricoveri in Terapia Intensiva  (06/08/2021 - 05/09/2021);12_39;73;2;4;79;92,41%;2,53%;5,06%
;40-59;295;7;15;317;93,06%;2,21%;4,73%
;60-79;366;16;88;470;77,87%;3,40%;18,72%
;80+;52;2;56;110;47,27%;1,82%;50,91%
;;;;;;;;
Decessi (23/07/2021 - 22/08/2021);12_39;9;1;2;12;75,00%;8,33%;16,67%
;40-59;114;6;15;135;84,44%;4,44%;11,11%
;60-79;353;31;100;484;72,93%;6,40%;20,66%
;80+;294;20;288;602;48,84%;3,32%;47,84%
