Gruppo;Fascia di etˆ;Non vaccinati;Vaccinati con ciclo incompleto;Vaccinati con ciclo completo;Totale;% Non vaccinati;% Vaccinati con ciclo incompleto;% Vaccinati con ciclo completo
Popolazione (17/07/2021);dic-39;9.409.901;4.366.588;3.659.066;17.435.555;53,97%;25,04%;20,99%
;40-59;5.754.829;3.425.683;9.266.948;18.447.460;31,20%;18,57%;50,23%
;60-79;2.083.299;2.020.243;9.469.237;13.572.779;15,35%;14,88%;69,77%
;80+;320.296;127.610;4.106.201;4.554.107;7,03%;2,80%;90,16%
;;;;;;;;
Diagnosi di Sars-CoV-2 (02/07/2021 - 01/08/2021);dic-39;67.101;14.327;7.195;88.623;75,72%;16,17%;8,12%
;40-59;21.581;5.897;9.003;36.481;59,16%;16,16%;24,68%
;60-79;5.553;2.221;6.079;13.853;40,09%;16,03%;43,88%
;80+;1.026;123;2.701;3.850;26,65%;3,19%;70,16%
;;;;;;;;
Ospedalizzazioni (25/06/2021 - 25/07/2021);dic-39;1.373;110;57;1.540;89,16%;7,14%;3,70%
;40-59;1.455;125;121;1.701;85,54%;7,35%;7,11%
;60-79;893;176;325;1.394;64,06%;12,63%;23,31%
;80+;331;33;456;820;40,37%;4,02%;55,61%
;;;;;;;;
Ricoveri in Terapia Intensiva (25/06/2021 - 25/07/2021);dic-39;49;2;0;51;96,08%;3,92%;0,00%
;40-59;121;8;7;136;88,97%;5,88%;5,15%
;60-79;140;11;36;187;74,87%;5,88%;19,25%
;80+;24;1;18;43;55,81%;2,33%;41,86%
;;;;;;;;
Decessi (11/06/2021 - 11/07/2021);dic-39;4;0;0;4;100,00%;0,00%;0,00%
;40-59;28;5;2;35;80,00%;14,29%;5,71%
;60-79;80;9;6;95;84,21%;9,47%;6,32%
;80+;65;5;40;110;59,09%;4,55%;36,36%
