Data;Etˆ;Incidenza
24/08/20;0-9;7
24/08/20;10_19;20
24/08/20;20-29;47
24/08/20;30-39;23
24/08/20;40-49;13
24/08/20;50-59;13
24/08/20;60-69;8
24/08/20;70-79;5
24/08/20;80-89;6
24/08/20;90+;11
31/08/20;0-9;10
31/08/20;10_19;16
31/08/20;20-29;33
31/08/20;30-39;22
31/08/20;40-49;17
31/08/20;50-59;16
31/08/20;60-69;11
31/08/20;70-79;8
31/08/20;80-89;7
31/08/20;90+;9
07/09/20;0-9;12
07/09/20;10_19;15
07/09/20;20-29;30
07/09/20;30-39;23
07/09/20;40-49;18
07/09/20;50-59;18
07/09/20;60-69;12
07/09/20;70-79;10
07/09/20;80-89;10
07/09/20;90+;14
14/09/20;0-9;13
14/09/20;10_19;17
14/09/20;20-29;28
14/09/20;30-39;25
14/09/20;40-49;20
14/09/20;50-59;18
14/09/20;60-69;15
14/09/20;70-79;11
14/09/20;80-89;11
14/09/20;90+;15
21/09/20;0-9;17
21/09/20;10_19;21
21/09/20;20-29;32
21/09/20;30-39;27
21/09/20;40-49;22
21/09/20;50-59;23
21/09/20;60-69;17
21/09/20;70-79;13
21/09/20;80-89;13
21/09/20;90+;20
28/09/20;0-9;25
28/09/20;10_19;36
28/09/20;20-29;47
28/09/20;30-39;38
28/09/20;40-49;31
28/09/20;50-59;30
28/09/20;60-69;23
28/09/20;70-79;18
28/09/20;80-89;21
28/09/20;90+;32
05/10/20;0-9;47
05/10/20;10_19;82
05/10/20;20-29;95
05/10/20;30-39;78
05/10/20;40-49;67
05/10/20;50-59;64
05/10/20;60-69;47
05/10/20;70-79;37
05/10/20;80-89;47
05/10/20;90+;72
12/10/20;0-9;81
12/10/20;10_19;180
12/10/20;20-29;187
12/10/20;30-39;152
12/10/20;40-49;135
12/10/20;50-59;131
12/10/20;60-69;97
12/10/20;70-79;74
12/10/20;80-89;89
12/10/20;90+;139
19/10/20;0-9;124
19/10/20;10_19;306
19/10/20;20-29;354
19/10/20;30-39;285
19/10/20;40-49;262
19/10/20;50-59;259
19/10/20;60-69;183
19/10/20;70-79;145
19/10/20;80-89;173
19/10/20;90+;273
26/10/20;0-9;165
26/10/20;10_19;391
26/10/20;20-29;470
26/10/20;30-39;400
26/10/20;40-49;389
26/10/20;50-59;388
26/10/20;60-69;279
26/10/20;70-79;224
26/10/20;80-89;270
26/10/20;90+;408
02/11/20;0-9;196
02/11/20;10_19;394
02/11/20;20-29;520
02/11/20;30-39;469
02/11/20;40-49;473
02/11/20;50-59;487
02/11/20;60-69;358
02/11/20;70-79;300
02/11/20;80-89;362
02/11/20;90+;535
09/11/20;0-9;195
09/11/20;10_19;341
09/11/20;20-29;484
09/11/20;30-39;453
09/11/20;40-49;472
09/11/20;50-59;487
09/11/20;60-69;373
09/11/20;70-79;330
09/11/20;80-89;402
09/11/20;90+;626
16/11/20;0-9;168
16/11/20;10_19;285
16/11/20;20-29;405
16/11/20;30-39;398
16/11/20;40-49;410
16/11/20;50-59;428
16/11/20;60-69;339
16/11/20;70-79;302
16/11/20;80-89;390
16/11/20;90+;611
23/11/20;0-9;142
23/11/20;10_19;223
23/11/20;20-29;297
23/11/20;30-39;293
23/11/20;40-49;304
23/11/20;50-59;312
23/11/20;60-69;255
23/11/20;70-79;235
23/11/20;80-89;321
23/11/20;90+;551
30/11/20;0-9;125
30/11/20;10_19;184
30/11/20;20-29;234
30/11/20;30-39;232
30/11/20;40-49;237
30/11/20;50-59;244
30/11/20;60-69;202
30/11/20;70-79;187
30/11/20;80-89;269
30/11/20;90+;486
07/12/20;0-9;103
07/12/20;10_19;155
07/12/20;20-29;197
07/12/20;30-39;193
07/12/20;40-49;200
07/12/20;50-59;205
07/12/20;60-69;164
07/12/20;70-79;155
07/12/20;80-89;219
07/12/20;90+;386
14/12/20;0-9;105
14/12/20;10_19;150
14/12/20;20-29;203
14/12/20;30-39;196
14/12/20;40-49;197
14/12/20;50-59;196
14/12/20;60-69;164
14/12/20;70-79;152
14/12/20;80-89;210
14/12/20;90+;371
21/12/20;0-9;91
21/12/20;10_19;127
21/12/20;20-29;177
21/12/20;30-39;170
