Data;Etˆ;Tasso ricoveri
04/01/21;0-9;13
04/01/21;10_19;7
04/01/21;20-29;26
04/01/21;30-39;42
04/01/21;40-49;59
04/01/21;50-59;111
04/01/21;60-69;212
04/01/21;70-79;372
04/01/21;80-89;723
04/01/21;90+;983
11/01/21;0-9;15
11/01/21;10_19;10
11/01/21;20-29;26
11/01/21;30-39;41
11/01/21;40-49;53
11/01/21;50-59;106
11/01/21;60-69;189
11/01/21;70-79;332
11/01/21;80-89;640
11/01/21;90+;970
18/01/21;0-9;11
18/01/21;10_19;10
18/01/21;20-29;18
18/01/21;30-39;39
18/01/21;40-49;47
18/01/21;50-59;98
18/01/21;60-69;158
18/01/21;70-79;286
18/01/21;80-89;532
18/01/21;90+;827
25/01/21;0-9;9
25/01/21;10_19;11
25/01/21;20-29;20
25/01/21;30-39;32
25/01/21;40-49;46
25/01/21;50-59;91
25/01/21;60-69;144
25/01/21;70-79;264
25/01/21;80-89;498
25/01/21;90+;721
01/02/21;0-9;15
01/02/21;10_19;11
01/02/21;20-29;20
01/02/21;30-39;38
01/02/21;40-49;52
01/02/21;50-59;90
01/02/21;60-69;158
01/02/21;70-79;253
01/02/21;80-89;449
01/02/21;90+;640
08/02/21;0-9;12
08/02/21;10_19;10
08/02/21;20-29;21
08/02/21;30-39;36
08/02/21;40-49;60
08/02/21;50-59;96
08/02/21;60-69;152
08/02/21;70-79;242
08/02/21;80-89;425
08/02/21;90+;510
15/02/21;0-9;15
15/02/21;10_19;11
15/02/21;20-29;24
15/02/21;30-39;42
15/02/21;40-49;67
15/02/21;50-59;113
15/02/21;60-69;171
15/02/21;70-79;265
15/02/21;80-89;399
15/02/21;90+;505
22/02/21;0-9;21
22/02/21;10_19;13
22/02/21;20-29;32
22/02/21;30-39;55
22/02/21;40-49;82
22/02/21;50-59;145
22/02/21;60-69;217
22/02/21;70-79;342
22/02/21;80-89;499
22/02/21;90+;574
01/03/21;0-9;22
01/03/21;10_19;15
01/03/21;20-29;35
01/03/21;30-39;70
01/03/21;40-49;107
01/03/21;50-59;177
01/03/21;60-69;279
01/03/21;70-79;427
01/03/21;80-89;611
01/03/21;90+;686
08/03/21;0-9;23
08/03/21;10_19;15
08/03/21;20-29;37
08/03/21;30-39;80
08/03/21;40-49;122
08/03/21;50-59;220
08/03/21;60-69;335
08/03/21;70-79;482
08/03/21;80-89;682
08/03/21;90+;724
15/03/21;0-9;25
15/03/21;10_19;15
15/03/21;20-29;36
15/03/21;30-39;76
15/03/21;40-49;124
15/03/21;50-59;228
15/03/21;60-69;341
15/03/21;70-79;521
15/03/21;80-89;697
15/03/21;90+;865
22/03/21;0-9;17
22/03/21;10_19;16
22/03/21;20-29;34
22/03/21;30-39;70
22/03/21;40-49;114
22/03/21;50-59;214
22/03/21;60-69;332
22/03/21;70-79;493
22/03/21;80-89;656
22/03/21;90+;823
29/03/21;0-9;21
29/03/21;10_19;9
29/03/21;20-29;35
29/03/21;30-39;68
29/03/21;40-49;116
29/03/21;50-59;199
29/03/21;60-69;310
29/03/21;70-79;475
29/03/21;80-89;608
29/03/21;90+;819
05/04/21;0-9;19
05/04/21;10_19;12
05/04/21;20-29;31
05/04/21;30-39;59
05/04/21;40-49;95
05/04/21;50-59;165
05/04/21;60-69;269
05/04/21;70-79;388
05/04/21;80-89;457
05/04/21;90+;507
12/04/21;0-9;19
12/04/21;10_19;11
12/04/21;20-29;31
12/04/21;30-39;55
12/04/21;40-49;81
12/04/21;50-59;137
12/04/21;60-69;211
12/04/21;70-79;316
12/04/21;80-89;355
12/04/21;90+;431
19/04/21;0-9;17
19/04/21;10_19;13
19/04/21;20-29;28
19/04/21;30-39;54
19/04/21;40-49;71
19/04/21;50-59;125
19/04/21;60-69;202
19/04/21;70-79;287
19/04/21;80-89;289
19/04/21;90+;378
26/04/21;0-9;16
26/04/21;10_19;11
26/04/21;20-29;24
26/04/21;30-39;47
26/04/21;40-49;72
26/04/21;50-59;113
26/04/21;60-69;178
26/04/21;70-79;246
26/04/21;80-89;195
26/04/21;90+;275
03/05/21;0-9;15
03/05/21;10_19;8
03/05/21;20-29;23
03/05/21;30-39;44
03/05/21;40-49;54
03/05/21;50-59;99
03/05/21;60-69;147
03/05/21;70-79;180
03/05/21;80-89;145
03/05/21;90+;223
10/05/21;0-9;10
10/05/21;10_19;7
10/05/21;20-29;17
10/05/21;30-39;40
10/05/21;40-49;49
10/05/21;50-59;74
10/05/21;60-69;101
10/05/21;70-79;113
10/05/21;80-89;102
10/05/21;90+;182
17/05/21;0-9;8
17/05/21;10_19;7
17/05/21;20-29;14
17/05/21;30-39;27
17/05/21;40-49;40
17/05/21;50-59;55
17/05/21;60-69;63
17/05/21;70-79;76
17/05/21;80-89;66
17/05/21;90+;97
24/05/21;0-9;7
24/05/21;10_19;5
24/05/21;20-29;12
24/05/21;30-39;23
24/05/21;40-49;31
24/05/21;50-59;38
24/05/21;60-69;44
24/05/21;70-79;44
24/05/21;80-89;43
24/05/21;90+;67
31/05/21;0-9;7
31/05/21;10_19;5
31/05/21;20-29;8
31/05/21;30-39;22
31/05/21;40-49;22
31/05/21;50-59;30
31/05/21;60-69;28
31/05/21;70-79;30
31/05/21;80-89;33
31/05/21;90+;59
07/06/21;0-9;6
07/06/21;10_19;3
07/06/21;20-29;12
07/06/21;30-39;15
07/06/21;40-49;18
07/06/21;50-59;22
07/06/21;60-69;20
07/06/21;70-79;19
07/06/21;80-89;24
07/06/21;90+;49
14/06/21;0-9;4
14/06/21;10_19;2
14/06/21;20-29;7
14/06/21;30-39;10
14/06/21;40-49;11
14/06/21;50-59;13
14/06/21;60-69;15
14/06/21;70-79;15
14/06/21;80-89;16
14/06/21;90+;37
21/06/21;0-9;4
21/06/21;10_19;3
21/06/21;20-29;7
21/06/21;30-39;8
21/06/21;40-49;10
21/06/21;50-59;10
21/06/21;60-69;8
21/06/21;70-79;11
21/06/21;80-89;15
21/06/21;90+;28
28/06/21;0-9;2
28/06/21;10_19;4
28/06/21;20-29;8
28/06/21;30-39;8
28/06/21;40-49;8
28/06/21;50-59;8
