Settimana;Etˆ media
8^ 202;78,43
9^ 2020;81,31
10^ 2020;79,59
11^ 2020;78,72
12^ 2020;78,03
13^ 2020;78,49
14^ 2020;79,85
15^ 2020;81,23
16^ 2020;81,54
17^ 2020 ;82,71
18^ 2020 ;82,77
19^ 2020 ;82,05
20^ 2020 ;83,41
21^ 2020;83,35
22^ 2020;82,32
23^ 2020 ;83,32
24^ 2020 ;81,96
25^ 2020;84,82
26^ 2020;84,3
27^ 2020;84,63
28^ 2020;83,03
29^ 2020;80,01
30^ 2020;84,4
31^ 2020;77,03
32^ 2020;83,16
33^ 2020;81,81
34^ 2020;80,23
35^ 2020;80,45
36^ 2020;80,47
37^ 2020;79,53
38^ 2020;80,35
39^ 2020;81,07
40^ 2020;78,83
41^ 2020;80,98
42^ 2020;81,2
43^ 2020;81,35
44^ 2020;81,39
45^ 2020;81,08
46^ 2020;80,79
47^ 2020;80,87
48^ 2020;80,92
49^ 2020;81,37
50^ 2020;81,44
51^ 2020;81,76
52^ 2020;81,52
53^ 2020;82,05
1^ 2021;81,64
2^ 2021;81,35
3^ 2021;81,44
4^ 2021;81,59
5^ 2021;81,48
6^ 2021;80,88
7^ 2021;80,43
8^ 2021;79,5
9^ 2021;79,63
10^ 2021;79,17
11^ 2021;79,22
12^ 2021;79,4
13^ 2021;78,66
14^ 2021;78,9
15^ 2021;78,48
16^ 2021;77,64
17^ 2021;77,07
18^ 2021;77,06
19^ 2021;76,83
20^ 2021;7,61
21^ 2021;74,83
22^ 2021;75,31
23^ 2021;75,97
24^ 2021;74,93
25^ 2021;75,17
26^ 2021;76,16
27^ 2021;71,64
28^ 2021;76,43
29^ 2021;76,86
30^ 2021;76,36
31^ 2021;77,85
32^ 2021;77,45
33^ 2021;77,27
34^ 2021;76,92
35^ 2021;76,78
36^ 2021;76,94
37^ 2021;77,75
38^ 2021;77,17
39^ 2021;78,48
40^ 2021;77,53
41^ 2021;79,96
42^ 2021;78,24
43^ 2021;80,53
44^ 2021;81,14
45^ 2021;79,61
46^ 2021;80,47
47^ 2021;80,17
48^ 2021;80,56
49^ 2021;80,61
50^ 2021;79,82
51^ 2021;80,13
52^ 2021;79,5
53^ 2021;79,72
1^ 2022;78,6
2^ 2022;77,8
;
