;Tutti;Tutti;Donne;Donne;Uomini;Uomini
Patologie;N;%;N;%;N;%
Cardiopatia ischemica;2.379;28,2;810;23,7;1.569;31,3
Fibrillazione atriale;2.114;25,1;901;26,3;1.213;24,2
Scompenso cardiaco;1.349;16;623;17,8;726;14,2
Ictus;950;11,3;419;12,2;531;10,6
Ipertensione arteriosa;5.550;65,8;2.327;68;3.223;64,3
Diabete mellito-Tipo 2;2.459;29,1;934;27,3;1.525;30,4
Demenza;1.987;23,6;1.095;32;892;17,8
BPCO (BroncoPneumopatia Cronica Ostruttiva);1.476;17,5;487;14,2;989;19,7
Cancro attivo negli ultimi 5 anni;1.362;16,1;490;14,3;872;17,4
Epatopatia cronica;427;5,1;145;4,2;282;5,6
Dialisi;198;2,3;66;1,9;132;2,6
Infezione da HIV;19;0,2;2;0,1;17;0,3
Malattie autoimmuni;397;4,7;221;6,5;176;3,5
Obesitˆ;981;11,6;391;11,4;590;11,8
;;;;;;
;;;;;;
