Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;95.358;223.165;968.780;392.912;1.680.215
2021-43;95.319;223.376;977.916;396.262;1.692.873
2021-44;95.126;223.509;982.860;397.703;1.699.198
2021-45;94.889;223.161;999.908;404.930;1.722.888
2021-46;94.733;222.593;995.660;401.754;1.714.740
2021-47;95.096;223.948;1.000.364;404.498;1.723.906
2021-48;93.295;219.490;987.136;398.449;1.698.370
2021-49;91.953;216.628;985.314;398.881;1.692.776
2021-50;92.696;218.037;967.101;392.132;1.669.966
2021-51;92.130;216.224;946.738;384.032;1.639.124
2021-52;90.848;213.714;929.858;375.238;1.609.658
2022-01;89.949;210.777;921.441;372.458;1.594.625
2022-02;89.004;208.788;899.886;364.347;1.562.025
2022-03;87.131;205.141;886.630;359.275;1.538.177
2022-04;86.306;202.713;854.833;348.205;1.492.057
2022-05;81.876;192.583;816.277;332.145;1.422.881
2022-06;74.669;176.314;745.091;302.658;1.298.732
2022-07;62.922;148.442;626.627;252.700;1.090.691
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
