Anno;Mesi;N. Tamponi (T);N. Casi (C) ;%C/T
2020;Gennaio;N.I. ;2;0,0%
2020;Febbraio;14.829;1.707;11,5%
2020;Marzo;489.214;113.156;23,1%
2020;Aprile;1.472.249;94.849;6,4%
2020;Maggio;1.899.522;22.762;1,2%
2020;Giugno;1.512.021;7.408;0,5%
2020;Luglio;1.449.003;7.343;0,5%
2020;Agosto;1.836.746;24.185;1,3%
2020;Settembre ;2.689.063;48.165;1,8%
2020;Ottobre;4.450.539;454.390;10,2%
2020;Novembre;6.160.638;896.468;14,6%
2020;Dicembre;4.886.338;499.068;10,2%
2020;Totale anno;26.860.162;2.169.503;8,1%
;;;;
2021;Gennaio;6068119;412.999;6,81%
2021;Febbraio;7.466.161;376.826;5,05%
2021;Marzo;9.769.770;658.596;6,74%
2021;Aprile;8.677.095;419.332;4,83%
2021;Maggio;7.592.503;174.138;2,29%
2021;Giugno;5.410.951;39.828;0,74%
2021;Luglio;5.960.988;97.318;1,63%
2021;Agosto;6.491.525;191.529;2,95%
2021;Settembre ;8.429.923;125.044;1,48%
2021;Ottobre;11.786.316;100.137;0,85%
2021;Novembre;15.079.777;279.680;1,85%
2021;Dicembre;20.805.871;1.361.830;6,55%
2021;Totale anno;113.538.999;4.237.257;3,73%
