Regione/ripartizione;Anno;Decessi covid;tasso di incidenza standardizzato;Anno;Decessi covid;tasso di incidenza standardizzato
Piemonte;2020;7.979;63;2021;3348;27
Valle d'Aosta;2020;382;104;2021;104;28
Lombardia;2020;25.362;102;2021;9625;37
Pa Bolzano;2020;798;60;2021;534;41
Pa Trento;2020;946;62;2021;434;32
Veneto;2020;7220;53;2021;5192;40
Friuli-Venezia Giulia;2020;1.802;46;2021;2404;66
Liguria;2020;2880;57;2021;1586;33
Emilia-Romagna;2020;7.863;62;2021;6300;51
Toscana;2020;3636;33;2021;3735;36
Umbria;2020;621;24;2021;863;36
Marche;2020;1560;36;2021;1689;38
Lazio;2020;3.951;30;2021;4769;37
Abruzzo;2020;1301;38;2021;1327;41
Molise;2020;202;24;2021;333;51
Campania;2020;3481;34;2021;5269;52
Puglia;2020;2.639;29;2021;4274;49
Basilicata;2020;287;21;2021;356;27
Calabria;2020;481;11;2021;1064;27
Sicilia;2020;2831;27;2021;4599;45
Sardegna;2020;943;23;2021;900;22
Nord;2020;55232;73;2021;29527;39
Centro;2020;9.768;31;2021;11056;37
Mezzogiorno;2020;12165;28;2021;18122;43
Italia;2020;77.165;51;2021;58705;40
