Area geografica;Popolazione;I dose (N.);I dose (%);II dose (N.);II dose (%);dose addizionale/richiamo (N.);dose addizionale/richiamo (%)
Nord;26.808.017;21.752.116;81,4;20.226.116;75,5;9.548.803;35,6
Centro;11.401.615;9.493.634;83,3;8.705.339;76,4;4.093.378;35,9
Mezzogiorno;19.456.382;15.441.833;79,4;14.287.481;74,4;5.986.843;30,8
Italia;57.666.014;46.687.583;81;43.218.936;75;19.629.024;34
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
