Regione/ripartizione;decessi 2020;decessi 2021;var. percentuale 2021vs1519;var. percentuale 2021vs2020;decessi covid 2021;% decessi covid 2021;decessi covid 2020;% decessi covid 2020
Piemonte;66.054;56.683;5,5;-14,2;3348;5,9;7979;12,1
Valle d'Aosta;1.849;1.533;3,5;-17,1;104;6,8;382;20,7
Lombardia;136.249;108.437;8,7;-20,4;9625;8,9;25362;18,6
Pa Bolzano;5.458;5.053;13,6;-7,4;534;10,6;798;14,6
Pa Trento;6.626;5.502;7,9;-17;434;7,9;946;14,3
Veneto;57.836;54.088;9,1;-6,5;5192;9,6;7220;12,5
Friuli-Venezia Giulia;16.617;16.930;14,6;1,9;2404;14,2;1802;10,8
Liguria;25.827;22.699;2,7;-12,1;1586;7;2880;11,2
Emilia-Romagna;59.665;55.609;9,2;-6,8;6300;11,3;7863;13,2
Toscana;48.135;47.754;7,8;-0,8;3735;7,8;3636;7,6
Umbria;11.131;11.581;9,8;4;863;7,5;621;5,6
Marche;20.123;19.910;11,5;-1,1;1689;8,5;1560;7,8
Lazio;62.161;63.779;8,2;2,6;4769;7,5;3951;6,4
Abruzzo;16.296;16.657;8,5;2,2;1327;8;1301;8
Molise;4.127;4.465;14,6;8,2;333;7,5;202;4,9
Campania;59.425;61.748;11,2;3,9;5269;8,5;3481;5,9
Puglia;44.650;47.190;18,5;5,7;4274;9,1;2639;5,9
Basilicata;6.839;7.008;7,9;2,5;356;5,1;287;4,2
Calabria;21.331;23.111;12,6;8,3;1064;4,6;481;2,3
Sicilia;56.753;60.513;12,8;6,6;4599;7,6;2831;5
Sardegna;18.994;18.785;11,6;-1,1;900;4,8;943;5
Nord;376.181;326.534;8,2;-13,2;29527;9;55232;14,7
Centro;141.550;143.024;8,6;1;11056;7,7;9768;6,9
Mezzogiorno;228.415;239.477;12,9;4,8;18122;7,6;12165;5,3
Italia;746.146;709.035;9,8;-5;58705;8,3;77165;10,3
