data,pubblicazione,url,fascia,vaccino,popolazione,diagnosi,ricoveri,intensive,decessi,popolazione_giorno,diagnosi_start,diagnosi_end,ricoveri_start,ricoveri_end,intensive_start,intensive_end,decessi_start,decessi_end,totale,percentuale_popolazione,percentuale_diagnosi,percentuale_ricoveri,percentuale_intensive,percentuale_decessi
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,12-39,non vaccinati,14011891,13549,513,13,7,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,17435555,0.8036389435266041,0.0009669644161519669,3.661176068240896e-05,9.277834091058802e-07,4.995756818262432e-07
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,12-39,vaccinati incompleto,1815895,1243,11,0,1,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,17435555,0.10414896457267922,0.0006845109436393624,6.0576189702598445e-06,0.0,5.506926336599859e-07
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,12-39,vaccinati completo,1607769,528,4,0,0,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,17435555,0.09221209190071666,0.000328405386594716,2.4879195954145154e-06,0.0,0.0
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,40-59,non vaccinati,9340510,5747,779,66,45,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,18447460,0.5063304107991019,0.0006152768960153139,8.340015695074466e-05,7.065995325737032e-06,4.817724085729794e-06
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,40-59,vaccinati incompleto,5502988,1586,51,3,4,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,18447460,0.2983059998503859,0.00028820706132740974,9.267692388208006e-06,5.451583757769416e-07,7.268778343692554e-07
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,40-59,vaccinati completo,3603962,727,24,0,1,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,18447460,0.1953635893505122,0.00020172243769495904,6.659337695569487e-06,0.0,2.7747240398206195e-07
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,60-79,non vaccinati,3251872,1491,420,47,158,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,13572779,0.2395877808074529,0.0004585051318133063,0.00012915637515867784,1.4453213410613947e-05,4.858739827397881e-05
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,60-79,vaccinati incompleto,5415352,1067,151,17,46,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,13572779,0.39898623561173435,0.00019703243667262995,2.788369066313695e-05,3.139223452141246e-06,8.494369341088077e-06
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,60-79,vaccinati completo,4905555,568,70,2,12,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,13572779,0.36142598358081274,0.00011578710258064582,1.4269537289868323e-05,4.0770106542480923e-07,2.446206392548855e-06
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,80+,non vaccinati,460790,302,168,21,147,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,4554107,0.10118119754322856,0.0006553961674515506,0.00036459124546973676,4.5573905683717095e-05,0.0003190173397860197
