Mese (2021);Numero casi di infezione da virus SARS-CoV-2 con campioni clinici genotipizzati/sequenziati ;%;Incidenza mensile (x100 000) 
gennaio;2.618;0,6;684
febbraio;5.556;1,5;684
marzo;10.001;1,5;1079
aprile;9.175;2,2;710
maggio;5.585;3,2;285
giugno;4.418;11;67
luglio;12.777;13;160
agosto;10.879;5,6;316
settembre;7.893;6,3;212
ottobre;5.889;5,9;164
novembre;9229;3,3;474
dicembre*;7818;0,6;2095
gennaio*,¤ ;251;0;3766
*dati in fase di consolidamento, ¤ dato riferito al periodo 1-10 gennaio 2022 ;;;
