Regione;Delta;Omicron;BA.1;BA.2
Abruzzo;0,0%;100,0%;76,4%;23,6%
Basilicata;0,0%;100,0%;75,0%;25,0%
Calabria;0,0%;99,7%;63,8%;36,2%
Campania;0,0%;100,0%;70,4%;28,9%
Emilia-Romagna;0,0%;100,0%;41,7%;58,3%
Friuli Venezia Giulia;0,0%;100,0%;40,9%;59,0%
Lazio;0,0%;100,0%;52,5%;47,5%
Liguria;0,0%;99,2%;20,3%;79,7%
Lombardia;0,3%;100,0%;37,2%;62,5%
Marche;0,0%;100,0%;58,8%;41,2%
Molise;0,0%;100,0%;58,8%;41,2%
P.A. Bolzano;0,0%;100,0%;75,0%;25,0%
P.A. Trento;0,0%;99,3%;45,6%;54,4%
Piemonte;0,0%;100,0%;25,0%;75,0%
Puglia;0,0%;100,0%;65,7%;34,3%
Sardegna;0,0%;100,0%;59,2%;40,8%
Sicilia;0,0%;100,0%;69,7%;30,3%
Toscana;0,0%;100,0%;52,1%;47,1%
Umbria;0,0%;100,0%;35,0%;65,0%
Valle d'Aosta;0,0%;100,0%;100,0%;0,0%
Veneto;0,0%;100,0%;61,5%;38,5%
Totale;0,08%;99,85%;55,78%;40,07%
