Nomenclatura OMS;Lignaggio/Clade;Numero sequenze;%
Alfa;Totale Alfa;0;0
Beta;Totale Beta;0;0
Gamma;Totale Gamma;0;0
Delta;B.1.617.2 ;4;0,06
Delta;AY.4 ;6;0,09
Delta;AY.43 ;32;0,48
Delta;AY.122 ;10;0,15
Delta;AY.n ;21;0,32
Delta;Totale Delta;73;1,1
Omicron;21K (Omicron);306;4,62
Omicron;21L (Omicron);1;0,02
Omicron;BA.1;2.159;32,59
Omicron;BA.1.1;2.057;31,05
Omicron;BA.2;1.987;30
Omicron;BA.3;1;0,02
Omicron;Totale Omicron;6.511;98,3
Omicron;Totale altri lignaggi;40;0,62
Totale;;6.624;100
