Mese ;Numero casi di infezione da virus SARS-CoV-2 con campioni clinici genotipizzati/sequenziati ;%;Incidenza mensile (x100 000) 
gen-21;2.612;0,6;678
feb-21;5.527;1,5;684
mar-21;9.953;1,5;1.079
apr-21;9.135;2,2;710
mag-21;5.539;3,2;286
giu-21;4.370;10,9;68
lug-21;12.777;13;160
ago-21;10.913;5,6;316
set-21;8.120;6,5;212
ott-21;6.101;6,1;164
nov-21;9.387;3,3;475
dic-21;12.600;0,9;2.250
gen-22;8.750;0,2;7.689
feb-22;3.306;0,2;2.927
marzo 2022*;1.190;0,1;2.240
*dati in fase di consolidamento ;;;
