variant;number_sequenced;percent_cases_sequenced
B.1.1.7;23.744;41,42
B.1.1.7 + E484K;28;0,05
Q.2;1.790;3,12
B.1.351;67;0,12
B.1.351.3;42;0,07
P.1;816;1,42
P.1.1;1.759;3,07
B.1.617.2;8.990;15,68
AY.4;5.115;8,92
AY.5;287;0,5
AY.6;338;0,59
AY.7.2;560;0,98
AY.9;378;0,66
AY.10;28;0,05
AY.12;198;0,35
AY.16;32;0,06
AY.20;43;0,08
AY.21;284;0,5
AY.23;35;0,06
AY.24;36;0,06
AY.25;30;0,05
AY.26;490;0,85
AY.32;451;0,79
B.1.525;448;0,78
B.1.621;63;0,11
Altro lignaggio;11.275;19,67
;;
