Lignaggio;Numero di sequenze;%
B.1.1.7;24.747;38,52
B.1.1.7 + E484K;30;0,05
Q.1;213;0,33
Q.2;1.627;2,53
Q.4;12;0,02
Q.7;1;0
Q.8;29;0,05
B.1.351;60;0,09
B.1.351.2;28;0,04
B.1.351.3;34;0,05
P.1;139;0,22
P.1.1;2.430;3,78
P.10;1;0
P.12;13;0,02
P.15;13;0,02
P.16;1;0
P.17;2;0
B.1.617.2;15.146;23,58
AY.1;7;0,01
AY.3;9;0,01
AY.4;2.366;3,68
AY.4.2;119;0,19
AY.4.3;53;0,08
AY.4.4;14;0,02
AY.4.5;46;0,07
AY.5;502;0,78
AY.5.2;1;0
AY.6;419;0,65
AY.7;26;0,04
AY.7.1;7;0,01
AY.7.2;613;0,95
AY.9;654;1,02
AY.10;45;0,07
AY.11;37;0,06
AY.12;15;0,02
AY.13;3;0
AY.14;50;0,08
AY.16;13;0,02
AY.17;1;0
AY.19;8;0,01
AY.20;65;0,1
AY.21;290;0,45
AY.22;2;0
AY.23;74;0,12
AY.23.1;5;0,01
AY.24;23;0,04
AY.25;38;0,06
AY.26;60;0,09
AY.28;14;0,02
AY.29;7;0,01
AY.32;31;0,05
AY.33;1.098;1,71
AY.34;1.388;2,16
AY.35;4;0,01
AY.36;49;0,08
AY.37;60;0,09
AY.38;129;0,2
AY.39;644;1
AY.39.1;3;0
AY.40;23;0,04
AY.41;28;0,04
B.1.525;450;0,7
B.1.621;64;0,1
B.1.621.1;36;0,06
C.37;12;0,02
C.37.1;3;0
Altro lignaggio;10.107;15,73
;;
