variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;18.626;26,04;0;0,00
B.1.1.7 + E484K;34;0,05;0;0,00
Q.1;51;0,07;0;0,00
Q.2;1.004;1,40;0;0,00
Q.4;20;0,03;0;0,00
Q.7;1;<0,01;0;0,00
Q.8;8;0,01;0;0,00
20I (Alpha, V1);81;0,11;0;0,00
B.1.351;54;0,08;0;0,00
B.1.351.2;10;0,01;0;0,00
B.1.351.3;31;0,04;0;0,00
B.1.351.5;9;0,01;0;0,00
20H (Beta, V2);29;0,04;0;0,00
P.1;177;0,25;10;0,12
P.1.1;2.236;3,13;0;0,00
P.1.2;1;<0,01;0;0,00
P.1.10;1;<0,01;0;0,00
P.1.12;8;0,01;0;0,00
P.1.14;1;<0,01;0;0,00
P.1.15;18;0,03;0;0,00
P.1.16;2;<0,01;0;0,00
P.1.17;2;<0,01;0;0,00
P.1.17.1;2;<0,01;0;0,00
20J (Gamma, V3);161;0,23;0;0,00
B.1.617.2;1.986;2,78;255;3,07
AY.1;9;0,01;0;0,00
AY.3;23;0,03;0;0,00
AY.4;3.202;4,48;1.125;13,54
AY.4.2;358;0,50;210;2,53
AY.4.2.1;6;0,01;4;0,05
AY.4.3;39;0,05;11;0,13
AY.4.4;55;0,08;26;0,31
AY.4.5;239;0,33;183;2,20
AY.5;413;0,58;64;0,77
AY.5.3;4;0,01;1;0,01
AY.5.4;244;0,34;30;0,36
AY.6;362;0,51;21;0,25
AY.7;24;0,03;0;0,00
AY.7.1;12;0,02;2;0,02
AY.7.2;888;1,24;38;0,46
AY.8;1;<0,01;0;0,00
AY.9;189;0,26;27;0,32
AY.9.1;182;0,25;46;0,55
AY.9.2;603;0,84;88;1,06
AY.10;2;<0,01;0;0,00
AY.13;17;0,02;0;0,00
AY.14;38;0,05;3;0,04
AY.16.1;2;<0,01;0;0,00
AY.19;4;0,01;0;0,00
AY.20;38;0,05;6;0,07
AY.20.1;1;<0,01;1;0,01
AY.21;288;0,40;0;0,00
AY.22;6;0,01;2;0,02
AY.23;140;0,20;62;0,75
AY.24;15;0,02;0;0,00
AY.25;59;0,08;9;0,11
AY.26;9;0,01;0;0,00
AY.29;30;0,04;3;0,04
AY.29.1;1;<0,01;0;0,00
AY.30;1;<0,01;0;0,00
AY.32;31;0,04;11;0,13
AY.33;376;0,53;28;0,34
AY.34;534;0,75;33;0,40
AY.34.1;1;<0,01;0;0,00
AY.35;5;0,01;1;0,01
AY.36;136;0,19;62;0,75
AY.37;158;0,22;15;0,18
AY.38;6;0,01;0;0,00
AY.39;183;0,26;30;0,36
AY.39.2;4;0,01;4;0,05
AY.40;4;0,01;0;0,00
AY.41;20;0,03;2;0,02
AY.42;1.380;1,93;172;2,07
AY.43;9.566;13,37;1.863;22,42
AY.43.1;23;0,03;1;0,01
AY.43.4;5;0,01;5;0,06
AY.44;180;0,25;38;0,46
AY.45;32;0,04;5;0,06
AY.46;245;0,34;52;0,63
AY.46.1;5;0,01;0;0,00
AY.46.2;9;0,01;2;0,02
AY.46.4;2;<0,01;1;0,01
AY.46.5;6;0,01;3;0,04
AY.46.6;1.276;1,78;263;3,16
AY.47;9;0,01;3;0,04
AY.48;1;<0,01;0;0,00
AY.49;1;<0,01;0;0,00
AY.50;5;0,01;0;0,00
AY.51;46;0,06;14;0,17
AY.52;22;0,03;5;0,06
AY.53;178;0,25;0;0,00
AY.54;8;0,01;0;0,00
AY.55;11;0,02;0;0,00
AY.56;5;0,01;0;0,00
AY.57;15;0,02;0;0,00
AY.58;603;0,84;50;0,60
AY.59;33;0,05;9;0,11
AY.60;2;<0,01;0;0,00
AY.61;1.429;2,00;10;0,12
AY.62;36;0,05;1;0,01
AY.64;1;<0,01;0;0,00
AY.65;13;0,02;0;0,00
AY.66;17;0,02;1;0,01
AY.68;409;0,57;10;0,12
AY.69;7;0,01;0;0,00
AY.70;72;0,10;4;0,05
AY.71;331;0,46;1;0,01
AY.72;39;0,05;17;0,20
AY.73;15;0,02;2;0,02
AY.74;1;<0,01;1;0,01
AY.75;98;0,14;8;0,10
AY.75.2;5;0,01;1;0,01
AY.76;1;<0,01;0;0,00
AY.77;5;0,01;2;0,02
AY.78;9;0,01;5;0,06
AY.80;30;0,04;25;0,30
AY.82;10;0,01;5;0,06
AY.83;1;<0,01;0;0,00
AY.84;28;0,04;6;0,07
AY.85;10;0,01;0;0,00
AY.86;2;<0,01;1;0,01
AY.87;12;0,02;1;0,01
AY.88;32;0,04;2;0,02
AY.89;15;0,02;0;0,00
AY.90;5;0,01;1;0,01
AY.91;14;0,02;0;0,00
AY.91.1;2;<0,01;0;0,00
AY.92;375;0,52;59;0,71
AY.93;2;<0,01;0;0,00
AY.94;15;0,02;0;0,00
AY.95;69;0,10;5;0,06
AY.96;4;0,01;0;0,00
AY.97;27;0,04;0;0,00
AY.98;145;0,20;37;0,45
AY.98.1;1.690;2,36;195;2,35
AY.99;10;0,01;1;0,01
AY.99.1;1;<0,01;0;0,00
AY.99.2;3;<0,01;3;0,04
AY.100;26;0,04;3;0,04
AY.101;114;0,16;34;0,41
AY.102;588;0,82;73;0,88
AY.103;159;0,22;100;1,20
AY.104;1;<0,01;0;0,00
AY.105;1;<0,01;0;0,00
AY.106;61;0,09;21;0,25
AY.107;1;<0,01;0;0,00
AY.108;52;0,07;43;0,52
AY.109;24;0,03;0;0,00
AY.110;164;0,23;44;0,53
AY.111;39;0,05;33;0,40
AY.112;2;<0,01;0;0,00
AY.113;57;0,08;9;0,11
AY.114;6;0,01;2;0,02
AY.116;82;0,11;13;0,16
AY.117;8;0,01;1;0,01
AY.118;66;0,09;1;0,01
AY.119;6;0,01;3;0,04
AY.120;133;0,19;23;0,28
AY.120.2;6;0,01;1;0,01
AY.120.2.1;35;0,05;4;0,05
AY.121;91;0,13;35;0,42
AY.122;6.498;9,08;1.175;14,14
AY.122.1;194;0,27;87;1,05
AY.123;4;0,01;3;0,04
AY.124;352;0,49;76;0,91
AY.125;1.801;2,52;275;3,31
21A (Delta);1.785;2,50;418;5,03
21I (Delta);275;0,38;48;0,58
21J (Delta);1.540;2,15;452;5,44
C.37;13;0,02;0;0,00
C.37.1;5;0,01;0;0,00
B.1.1.529c;8;0,01;8;0,10
21K (Omicron) c;2;<0,01;2;0,02
B.1.525;437;0,61;0;0,00
21D;58;0,08;0;0,00
B.1.617.1 ;19;0,03;0;0,00
P.2 ;5;0,01;0;0,00
Other;4647;6,50;21;0,25
