variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case_last_45_days;imported_case_last_45_days
B.1.1.7;0;0;0;0;0;0;0;0
B.1.1.7 + E484K;0;0;0;0;0;0;0;0
B.1.351;1;<0,1;0;0;1;0,1;1;0
P.1;0;0;0;0;0;0;0;0
B.1.617.2;2;0,1;0;0;2;0,1;2;0
B.1.1.529 ;3473;87,2;1859;86,2;1614;88,3;2727;1
B.1.525;0;0;0;0;0;0;0;0
B.1.617.1;0;0;0;0;0;0;0;0
B.1.617.3;0;0;0;0;0;0;0;0
P.2;0;0;0;0;0;0;0;0
Other;507;12,7;297;13,8;210;11,5;482;3
