date;source;variant;number_sequenced;percent_variant;variant_sex_female;percent_variant_female;variant_sex_male;percent_variant_male
B.1.1.7;24.893;73,46;12.508;74,31;12.385;72,63;24.693;200
B.1.351;265;0,78;121;0,72;144;0,84;256;9
P.1;2.351;6,94;1.155;6,86;1.196;7,01;2.329;22
P.2;4;0,01;0;0;4;0,02;4;0
B.1.525;388;1,15;153;0,91;235;1,38;332;56
B.1.1.7 + E484K;31;0,09;14;0,08;17;0,1;31;0
B.1.617.1/2;788;2,33;349;2,07;439;2,57;746;42
B.1.617.1;2;0,01;1;0,01;1;0,01;2;0
B.1.617.2;190;0,56;77;0,46;113;0,66;154;36
Altro lignaggio/non indicato;4.974;14,68;2.455;14,58;2.519;14,77;4.856;118
