variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_male;percent_variant_male;native_case;imported_case
B.1.1.7;26.195;69,73;1.747;35,24;850;37,78;897;33,12;1.713;34
B.1.1.7 + E484K;66;0,18;33;0,67;15;0,67;18;0,66;33;0
B.1.351;275;0,73;16;0,32;8;0,36;8;0,32;15;1
P.1;2.576;6,86;355;7,16;174;7,73;181;6,68;347;8
B.1.617.2;2.610;6,95;2.279;45,97;990;43,99;1.289;47,6;2.033;246
B.1.525;415;1,1;32;0,65;13;0,58;19;0,7;22;10
B.1.617.1;94;0,25;67;1,35;26;1,16;41;1,51;67;0
B.1.617.3;2;0,01;2;0,04;2;0,09;0;0;2;0
P.2;4;0,01;2;0,04;0;0;2;0,07;2;0
B.1.617.1/2;134;0,36;65;1,31;19;0,84;46;1,7;58;7
Altro lignaggio/non indicato;5.194;13,83;360;7,26;153;6,8;207;7,64;329;31
