variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;native_case_last_45_days;imported_case;imported_case_last_45_days
B.1.1.7;26.738;63,5;1.340;17,3;13.385;65,1;642;18,5;13.353;61,9;698;16,3;26.505;1.303;233;37
B.1.1.7 + E484K;69;0,2;19;0,2;33;0,2;8;0,2;36;0,2;11;0,3;69;19;0;0
B.1.351;278;0,7;9;0,1;131;0,6;7;0,2;147;0,7;2;<0,1;268;7;10;2
P.1;2.704;6,4;305;3,9;1.330;6,5;151;2,2;1.374;6,4;154;3,6;2.675;299;29;6
B.1.617.2;6.216;14,8;5.356;69,2;2.719;13,2;2.352;67,9;3.497;16,2;3.004;70,3;5.678;4.913;538;443
B.1.525;419;1;20;0,3;169;0,8;8;0,2;250;1,2;12;0,3;356;12;63;8
B.1.617.1;155;0,4;121;1,6;68;0,3;52;1,5;87;0,4;69;1,6;153;121;2;0
B.1.617.3;2;<0,1;1;<0,1;2;<0,1;1;<0,1;0;0;0;0;2;1;0;0
P.2;5;<0,1;2;<0,1;1;<0,1;1;<0,1;4;<0,1;1;<0,1;5;2;0;0
B.1.617.1/2;56;0,1;21;0,3;21;0,1;2;0,1;35;0,2;19;0,4;54;19;2;2
Other;5.496;13;545;7;2.696;13,1;242;7;2.800;13;303;7,1;5.357;504;139;41
