variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;imported_case;native_case_last_45_days;imported_case_last_45_days
B.1.1.7;27.411;53,7;190;2,3;13.693;55,3;78;2;13.718;52,2;112;2,5;27.164;99,1;183;96,3
B.1.1.7 + E484K;74;0,1;2;<0,1;36;0,1;1;<0,1;38;0,1;1;<0,1;74;100;2;100
B.1.351;285;0,6;4;<0,1;134;0,5;3;0,1;151;0,6;1;<0,1;274;96,1;3;75
P.1;2.818;5,5;35;0,4;1.381;5,6;18;0,5;1.437;5,5;17;0,4;2.785;98,8;32;91,4
B.1.617.2;13.711;26,9;7.314;88,1;6.256;25,3;3.471;88,1;7.455;28,3;3.843;88;12.814;93,5;6.991;95,6
B.1.525;427;0,8;5;0,1;174;0,7;4;0,1;253;1;1;<0,1;363;85;4;80
B.1.617.1;241;0,5;100;1,2;112;0,5;51;1,3;129;0,5;49;1,1;239;99,2;100;100
B.1.617.3;6;<0,1;4;<0,1;4;<0,1;2;0,1;2;<0,1;2;<0,1;6;100;4;100
P.2;5;<0,1;0;0;1;<0,1;0;0;4;<0,1;0;0;5;100;0;0
Altro lignaggio/non indicato;6.027;11,8;646;7,8;2.953;11,9;306;7,7;3.074;11,7;340;7,7;5.882;97,6;633;98
;;;;;;;;;;;;;;;;
