variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_45_days
B.1.1.7;14.071;40,06;153;
B.1.1.7+E484K;30;0,09;2;
Q.1;46;0,13;0;
Q.2;976;2,78;0;
B.1.351;51;0,15;3;
B.1.351.2;9;0,03;0;
B.1.351.3;39;0,11;0;
B.1.617.2;7.192;20,48;3604;
AY.1;2;0,01;1;
AY.3;5;0,01;3;
AY.4;2.558;7,28;1571;
AY.5;78;0,22;56;
AY.6;627;1,79;545;
AY.7;272;0,77;232;
AY.7.2;1;0;0;
AY.9;199;0,57;155;
AY.10;6;0,02;2;
AY.11;34;0,1;21;
AY.12;1.731;4,93;953;
AY.20;2;0,01;0;
AY.24;2;0,01;0;
AY.25;1;0;1;
B.1.525;362;1,03;1;
P.1;386;1,1;23;
P.1.1;1.143;3,25;15;
P.1.2;1;0;0;
P.1.4;3;0,01;3;
P.1.7;290;0,83;6;
B.1.617.1;18;0,05;0;
C.37;13;0,04;1;
C.37.1;5;0,01;2;
P.2;5;0,01;0;
Other;4.966;14,14;153;
