Regione;Macroarea;Casi notificati al 13/05/2021;% casi nella macroarea;Ampiezza campionaria (p=5, epsilon=2%)
Abruzzo;Sud;27;5%;12
Basilicata;Sud;16;3%;8
Calabria;Sud;66;11%;30
Campania;Sud;167;29%;74
Emilia-Romagna;Nord-Est;73;38%;52
Friuli Venezia Giulia;Nord-Est;23;12%;17
Lazio;Centro;143;49%;88
Liguria;Nord-Ovest;21;6%;13
Lombardia;Nord-Ovest;256;76%;149
Marche;Centro;29;10%;18
Molise;Sud;1;0%;1
P.A. Bolzano;Nord-Est;8;4%;6
P.A. Trento;Nord-Est;4;2%;3
Piemonte;Nord-Ovest;59;18%;35
Puglia;Sud;112;19%;50
Sardegna;Isole;24;4%;11
Sicilia;Isole;168;29%;75
Toscana;Centro;106;37%;66
Umbria;Centro;12;4%;8
Valle d'Aosta;Nord-Ovest;1;0%;1
Veneto;Nord-Est;84;44%;60
TOTALE;;1.400;;777
