Regione/PA;Macroarea;Casi notificati al 16/12/2021;% casi nella macroarea;Ampiezza campionaria (p=5%, __=2%)
Abruzzo;Sud;506;9,1%;39
Basilicata;Sud;125;2,2%;10
Calabria;Sud;929;16,7%;71
Campania;Sud;1770;31,7%;134
Emilia-Romagna;Nord-Est;2077;29,3%;126
Friuli Venezia Giulia;Nord-Est;914;12,9%;56
Lazio;Centro;2652;54,3%;227
Liguria;Nord-Ovest;1011;11,8%;52
Lombardia;Nord-Ovest;5304;61,9%;269
Marche;Centro;753;15,4%;65
Molise;Sud;10;0,2%;1
P.A. Bolzano;Nord-Est;442;6,2%;27
P.A. Trento;Nord-Est;266;3,8%;17
Piemonte;Nord-Ovest;2197;25,7%;112
Puglia;Sud;596;10,7%;46
Sardegna;Isole;294;5,3%;23
Sicilia;Isole;1346;24,1%;102
Toscana;Centro;1222;25,0%;105
Umbria;Centro;260;5,3%;23
Valle d'Aosta;Nord-Ovest;52;0,6%;3
Veneto;Nord-Est;3383;47,8%;205
TOTALE;;26109;;1713
