Regione;Macroarea;Casi notificati al  29/12/2021;% casi nella macroarea;Ampiezza campionaria (p=5%, __=2%)
Abruzzo;Sud;921;4,5%;21
Basilicata;Sud;464;2,3%;11
Calabria;Sud;1590;7,8%;35
Campania;Sud;9802;48,2%;216
Emilia-Romagna;Nord-Est;4134;25,8%;115
Friuli Venezia Giulia;Nord-Est;1817;11,3%;51
Lazio;Centro;5238;30,1%;134
Liguria;Nord-Ovest;1634;3,7%;17
Lombardia;Nord-Ovest;32696;73,9%;335
Marche;Centro;1707;9,8%;44
Molise;Sud;159;0,8%;4
P.A. Bolzano;Nord-Est;494;3,1%;14
P.A. Trento;Nord-Est;938;5,8%;26
Piemonte;Nord-Ovest;9671;21,9%;99
Puglia;Sud;2885;14,2%;64
Sardegna;Isole;771;3,8%;17
Sicilia;Isole;3729;18,4%;83
Toscana;Centro;7304;41,9%;187
Umbria;Centro;3171;18,2%;82
Valle d'Aosta;Nord-Ovest;229;0,5%;3
Veneto;Nord-Est;8666;54,0%;240
TOTALE;;98020;;1798
