REGIONE/PA;BA.2;BA.2.1;BA.2.2;BA.2.3;BA.2.5;BA.2.7;BA.2.8;BA.2.9;BA.2.10;BA.2.10.1;BA.2.12;BA.2.12.1;BA.2.12.2;BA.2.18;BA.2.21;BA.2.22;BA.2.23;BA.2.25;BA.2.31;BA.2.33;TOTALE
ABRUZZO;56;;;1;;;;2;2;;1;;;;;;;;;;62
BASILICATA;14;;;;;;;;;;;;;;;;;;;;14
CALABRIA;18;;;;;;;16;;;;;;;;;;;;;34
CAMPANIA;77;;;12;;;1;29;;;;;;;;;;;;1;120
EMILIA ROMAGNA;110;1;;10;;;;36;;;1;1;;;;;4;;1;;164
FRIULI VENEZIA GIULIA;41;;;2;;;;21;;;1;1;;;;;;1;;;67
LAZIO;67;;;14;1;;;18;1;;1;1;;;;1;;;;;104
LIGURIA;35;;;1;;;;8;;;;;;;;;;;;;44
LOMBARDIA;231;2;;12;1;1;;38;3;1;1;;;;;1;1;;;;292
MARCHE;61;;;;;;;;;;;1;;;;;;;;;62
MOLISE;13;;;1;;;;3;;;;;;;;;;;;;17
PA BOLZANO;14;;;;;;;1;;;;;;;;;;;;;15
PA TRENTO;13;;;;;;;1;;;;;;;;;1;;;;15
PIEMONTE;69;;;3;;;;16;;;;;;;;1;;;;;89
PUGLIA;49;;;4;;;;3;;;;;;;;;;;;;56
SARDEGNA;35;;;2;;;;3;;;;;;;;;;;;;40
SICILIA;42;;10;3;;;;15;1;;;;;;;;2;;;;73
TOSCANA;71;;;6;;;;13;;;;;1;;;;4;;;;95
UMBRIA;39;;;2;;;;7;1;;;;;1;;;;;;;50
VALLE D'AOSTA;1;;;;;;;1;;;;;;;;;;;;;2
VENETO;189;1;;4;;;;31;;1;;;;3;1;;;;;;230
ITALIA;1245;4;10;77;2;1;1;262;8;2;5;4;1;4;1;3;12;1;1;1;1645
