regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_B.1-617-2;n_B-1-1-529;Other;percent_B.1-617-2;percent_B-1-1-529
Abruzzo;2;1231;51;0;51;0;0;100
Basilicata;2;674;13;0;13;0;0;100
Calabria;4;1195;30;0;19;0;0;100
Campania;3;1352;144;3;141;0;2,1;97,9
Emilia-Romagna;3;182;182;2;157;0;1,3;98,7
Friuli-Venezia Giulia;8;123;56;0;54;0;0;100
Lazio;5;315;315;1;294;0;0,3;99,7
Liguria;11;1720;55;1;54;0;1,8;98,2
Lombardia;16;365;365;3;353;0;0,8;99,2
Marche;5;87;86;1;85;0;1,2;98,8
Molise;1;25;17;0;17;0;0;100
P.A. Bolzano;1;256;42;0;42;0;0;100
P.A. Trento;1;21;21;0;20;0;0;100
Piemonte;14;150;150;0;127;0;0;100
Puglia;10;110;110;0;110;0;0;100
Sardegna;10;1421;35;1;19;0;5;95
Sicilia;5;281;185;5;180;0;2,7;97,3
Toscana;3;248;133;0;131;0;0;100
Umbria;4;473;50;2;48;0;4;96
Valle d'Aosta;1;4;4;0;4;0;0;100
Veneto;13;245;245;3;242;0;1,2;98,8
ITALIA;122;10478;2289;22;2161;0;0,9;99,1
