regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_B.1-617-2;n_B-1-1-529;n_BA-1_Clade-21K;n_BA-2-Clade-21L;Other;percent_B.1-617-2;percent_B-1-1-529;percent_BA-1_Clade-21K;percent_BA-2-Clade-21L;Other
Abruzzo;2;462;55;0;0;42;13;0;0,00;76,40;23,60;100,00;0,00
Basilicata;2;219;12;0;0;9;3;0;0,00;75,00;25,00;100,00;0,00
Calabria;4;1493;50;0;0;30;17;0;0,00;63,80;36,20;100,00;0,00
Campania;3;318;135;0;0;95;39;1;0,00;70,40;28,90;99,30;0,70
Emilia-Romagna;3;142;139;0;0;58;81;0;0,00;41,70;58,30;100,00;0,00
Friuli-Venezia Giulia;8;98;50;0;0;18;26;0;0,00;40,90;59,10;100,00;0,00
Lazio;4;200;200;0;0;95;86;0;0,00;52,50;47,50;100,00;0,00
Liguria;9;506;60;0;0;12;47;0;0,00;20,30;79,70;100,00;0,00
Lombardia;17;328;326;1;0;119;200;0;0,30;37,20;62,50;99,70;0,00
Marche;5;68;68;0;0;40;28;0;0,00;58,80;41,20;100,00;0,00
Molise;1;19;17;0;0;10;7;0;0,00;58,80;41,20;100,00;0,00
P.A. Bolzano;1;79;28;0;0;7;21;0;0,00;25,00;75,00;100,00;0,00
P.A. Trento;1;15;15;0;0;9;3;0;0,00;75,00;25,00;100,00;0,00
Piemonte;13;120;120;0;1;47;56;0;0,00;45,60;54,40;100,00;0,00
Puglia;10;108;108;0;0;71;37;0;0,00;65,70;34,30;100,00;0,00
Sardegna;10;761;79;0;0;45;31;0;0,00;59,20;40,80;100,00;0,00
Sicilia;5;222;188;0;0;131;57;0;0,00;69,70;30,30;100,00;0,00
Toscana;3;223;119;1;0;62;56;0;0,80;52,10;47,10;99,20;0,00
Umbria;4;252;60;0;0;21;39;0;0,00;35,00;65,00;100,00;0,00
Valle d'Aosta;1;3;3;0;0;3;0;0;0,00;100,00;0,00;100,00;0,00
Veneto;12;209;209;0;1;128;80;0;0,00;61,50;38,50;100,00;0,00
ITALIA;118;5845;2041;2;2;1052;927;1;0,08;55,78;44,07;99,86;0,07
