regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_B-1-1-7;n_P-1;n_B-1-351;n_B-1-617-2;n_P-2;n_B-1-525;Other;percent_B-1-1-7;percent_P-1;percent_B-1-351;percent_B-1-617-2;percent_P-2;percent_B-1-525
Abruzzo;2;45;28;3;1;0;24;0;0;0;0;3,6;0;85,7;0;0
Basilicata;2;2;2;0;0;0;2;0;0;0;0;0;0;100;0;0
Calabria;2;33;15;0;2;0;10;0;0;0;0;16,7;0;83,3;0;0
Campania;3;233;83;3;3;0;77;0;0;0;0;3,6;0;92,8;0;0
Emilia-Romagna;2;127;127;9;0;0;118;0;0;0;0;0;0;92,9;0;0
Friuli-Venezia Giulia;7;44;30;0;0;0;29;0;0;1;0;0;0;96,7;0;0
Lazio;20;132;132;5;2;0;125;0;0;0;0;1,5;0;94,7;0;0
Liguria;8;75;16;0;0;0;15;0;0;0;0;0;0;100;0;0
Lombardia;15;220;220;3;3;0;204;0;0;4;0;1,4;0;95,3;0;0
Marche;7;49;18;3;0;0;46;0;0;0;0;0;0;93,9;0;0
Molise;1;15;15;0;0;0;15;0;0;0;0;0;0;100;0;0
P.A. Bolzano;1;14;10;0;0;0;10;0;0;0;0;0;0;100;0;0
P.A. Trento;1;11;11;1;0;0;10;0;0;0;0;0;0;90,9;0;0
Piemonte;12;57;57;2;0;0;53;0;0;0;0;0;0;96,4;0;0
Puglia;9;75;75;11;2;0;60;0;0;0;0;2,7;0;80;0;0
Sardegna;10;330;64;0;0;0;63;0;0;0;0;0;0;100;0;0
Sicilia;4;152;146;6;3;0;134;0;0;1;0;2,1;0;93,1;0;0
Toscana;3;135;117;0;0;0;117;0;0;0;0;0;0;100;0;0
Umbria;4;78;13;0;0;0;13;0;0;0;0;0;0;100;0;0
Valle d'Aosta;1;1;1;0;0;0;1;0;0;0;0;0;0;100;0;0
Veneto;9;145;145;3;0;0;140;0;0;1;0;0;0;97,2;0;0
ITALIA;123;1.973;1.325;49;16;0;1.266;0;0;7;0;1,4;0;94,8;0;0
