regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_B-1-351;n_P-1;n_B.1-617-2;Other;percent_B-1-351;percent_P-1;percent_B.1-617-2
Abruzzo;2;52;21;0;0;21;0;0;0;100
Basilicata;2;9;9;0;0;9;0;0;0;100
Calabria;2;97;45;0;0;42;0;0;0;100
Campania;3;222;87;0;0;87;0;0;0;100
Emilia-Romagna;3;151;151;0;0;151;0;0;0;100
Friuli-Venezia Giulia;8;62;26;0;0;25;0;0;0;100
Lazio;20;171;171;0;0;145;0;0;0;100
Liguria;8;82;33;0;0;33;0;0;0;100
Lombardia;16;198;191;0;0;183;0;0;0;100
Marche;6;30;30;0;0;30;0;0;0;100
Molise;1;3;3;0;0;3;0;0;0;100
P.A. Bolzano;1;37;13;0;0;13;0;0;0;100
P.A. Trento;1;12;12;0;0;12;0;0;0;100
Piemonte;15;112;112;0;0;107;0;0;0;100
Puglia;10;40;40;0;0;40;0;0;0;100
Sardegna;10;167;29;0;0;24;0;0;0;100
Sicilia;5;192;159;0;0;156;0;0;0;100
Toscana;3;120;119;0;0;35;0;0;0;100
Umbria;4;55;26;0;0;26;0;0;0;100
Valle d'Aosta;1;3;3;0;0;3;0;0;0;100
Veneto;12;163;163;0;0;163;0;0;0;100
ITALIA;133;1978;1443;0;0;1308;0;0;0;100
