"data","regione","macroarea","casi_notificati","percentuale_casi_notificati","ampiezza_campionaria"
"16/03/21","Abruzzo","Sud",212,4.1,18
"16/03/21","Basilicata","Sud",166,3.2,14
"16/03/21","Calabria","Sud",311,6,26
"16/03/21","Campania","Sud",2656,51.4,216
"16/03/21","Emilia-Romagna","Nord-Est",2184,42.6,179
"16/03/21","Friuli Venezia Giulia","Nord-Est",672,13.1,55
"16/03/21","Lazio","Centro",1497,43.6,176
"16/03/21","Liguria","Nord-Ovest",343,5.1,22
"16/03/21","Lombardia","Nord-Ovest",4235,63.4,272
"16/03/21","Marche","Centro",529,15.4,63
"16/03/21","Molise","Sud",18,0.3,2
"16/03/21","P.A. Bolzano","Nord-Est",175,3.4,15
"16/03/21","P.A. Trento","Nord-Est",190,3.7,16
"16/03/21","Piemonte","Nord-Ovest",2074,31.1,133
"16/03/21","Puglia","Sud",1126,21.8,92
"16/03/21","Sardegna","Isole",79,1.5,7
"16/03/21","Sicilia","Isole",598,11.6,49
"16/03/21","Toscana","Centro",1247,36.3,147
"16/03/21","Umbria","Centro",159,4.6,19
"16/03/21","Valle d'Aosta","Nord-Ovest",24,0.4,2
"16/03/21","Veneto","Nord-Est",1901,37.1,156
"16/03/21","TOTALE",0,20396,0,1679
"15/04/21","Abruzzo","Sud",215,3.1,14
"15/04/21","Basilicata","Sud",217,3.2,14
"15/04/21","Calabria","Sud",560,8.2,35
"15/04/21","Campania","Sud",2224,32.4,139
"15/04/21","Emilia-Romagna","Nord-Est",1150,43.3,169
"15/04/21","Friuli Venezia Giulia","Nord-Est",267,10,40
"15/04/21","Lazio","Centro",1330,44.7,177
"15/04/21","Liguria","Nord-Ovest",407,9.1,38
"15/04/21","Lombardia","Nord-Ovest",2722,60.9,253
"15/04/21","Marche","Centro",326,10.9,44
"15/04/21","Molise","Sud",59,0.9,4
"15/04/21","P.A. Bolzano","Nord-Est",39,1.5,6
"15/04/21","P.A. Trento","Nord-Est",117,4.4,18
"15/04/21","Piemonte","Nord-Ovest",1264,28.3,118
"15/04/21","Puglia","Sud",1867,27.2,117
"15/04/21","Sardegna","Isole",279,4.1,18
"15/04/21","Sicilia","Isole",1450,21.1,91
"15/04/21","Toscana","Centro",1206,40.5,161
"15/04/21","Umbria","Centro",116,3.9,16
"15/04/21","Valle d'Aosta","Nord-Ovest",74,1.7,7
"15/04/21","Veneto","Nord-Est",1085,40.8,160
"15/04/21","TOTALE",0,16974,0,1639
"13/05/21","Abruzzo","Sud",89,3,13
"13/05/21","Basilicata","Sud",91,3,13
"13/05/21","Calabria","Sud",327,11,46
"13/05/21","Campania","Sud",1110,39,154
"13/05/21","Emilia-Romagna","Nord-Est",618,47,161
"13/05/21","Friuli Venezia Giulia","Nord-Est",100,8,26
"13/05/21","Lazio","Centro",654,39,141
"13/05/21","Liguria","Nord-Ovest",115,5,20
"13/05/21","Lombardia","Nord-Ovest",1396,62,237
"13/05/21","Marche","Centro",233,14,50
"13/05/21","Molise","Sud",12,0,2
"13/05/21","P.A. Bolzano","Nord-Est",65,5,17
"13/05/21","P.A. Trento","Nord-Est",53,4,14
"13/05/21","Piemonte","Nord-Ovest",706,31,120
"13/05/21","Puglia","Sud",554,19,77
"13/05/21","Sardegna","Isole",72,3,10
"13/05/21","Sicilia","Isole",603,21,84
"13/05/21","Toscana","Centro",651,39,140
"13/05/21","Umbria","Centro",139,8,30
"13/05/21","Valle d'Aosta","Nord-Ovest",29,1,5
"13/05/21","Veneto","Nord-Est",468,36,22
"13/05/21","TOTALE",0,8085,0,1482
"16/06/21","Abruzzo","Sud",27,5,12
"16/06/21","Basilicata","Sud",16,3,8
"16/06/21","Calabria","Sud",66,11,30
"16/06/21","Campania","Sud",167,29,74
"16/06/21","Emilia-Romagna","Nord-Est",73,38,52
"16/06/21","Friuli Venezia Giulia","Nord-Est",23,12,17
"16/06/21","Lazio","Centro",143,49,88
"16/06/21","Liguria","Nord-Ovest",21,6,13
"16/06/21","Lombardia","Nord-Ovest",256,76,149
"16/06/21","Marche","Centro",29,10,18
"16/06/21","Molise","Sud",1,0,1
"16/06/21","P.A. Bolzano","Nord-Est",8,4,6
"16/06/21","P.A. Trento","Nord-Est",4,2,3
"16/06/21","Piemonte","Nord-Ovest",59,18,35
"16/06/21","Puglia","Sud",112,19,50
"16/06/21","Sardegna","Isole",24,4,11
"16/06/21","Sicilia","Isole",168,29,75
"16/06/21","Toscana","Centro",106,37,66
"16/06/21","Umbria","Centro",12,4,8
"16/06/21","Valle d'Aosta","Nord-Ovest",1,0,1
"16/06/21","Veneto","Nord-Est",84,44,60
"16/06/21","TOTALE",0,1400,0,777
"15/07/21","Abruzzo","Sud",50,6,18
"15/07/21","Basilicata","Sud",5,1,2
"15/07/21","Calabria","Sud",32,4,12
"15/07/21","Campania","Sud",234,28,83
"15/07/21","Emilia-Romagna","Nord-Est",167,30,76
"15/07/21","Friuli Venezia Giulia","Nord-Est",21,4,10
"15/07/21","Lazio","Centro",353,60,155
"15/07/21","Liguria","Nord-Ovest",31,6,16
"15/07/21","Lombardia","Nord-Ovest",381,79,187
"15/07/21","Marche","Centro",40,7,18
"15/07/21","Molise","Sud",10,1,4
"15/07/21","P.A. Bolzano","Nord-Est",22,4,10
"15/07/21","P.A. Trento","Nord-Est",23,4,11
"15/07/21","Piemonte","Nord-Ovest",68,14,34
"15/07/21","Puglia","Sud",42,5,15
"15/07/21","Sardegna","Isole",112,13,40
"15/07/21","Sicilia","Isole",353,42,125
"15/07/21","Toscana","Centro",173,30,76
"15/07/21","Umbria","Centro",20,3,9
"15/07/21","Valle d'Aosta","Nord-Ovest",0,0,0
"15/07/21","Veneto","Nord-Est",318,58,145
"15/07/21","TOTALE",0,2455,0,1046
"19/08/21","Abruzzo","Sud",154,5,20
"19/08/21","Basilicata","Sud",68,2,9
"19/08/21","Calabria","Sud",231,7,30
"19/08/21","Campania","Sud",647,20,82
"19/08/21","Emilia-Romagna","Nord-Est",576,44,151
"19/08/21","Friuli Venezia Giulia","Nord-Est",68,5,18
"19/08/21","Lazio","Centro",548,32,117
"19/08/21","Liguria","Nord-Ovest",212,19,63
"19/08/21","Lombardia","Nord-Ovest",627,57,185
"19/08/21","Marche","Centro",208,12,45
"19/08/21","Molise","Sud",12,0,2
"19/08/21","P.A. Bolzano","Nord-Est",30,2,8
"19/08/21","P.A. Trento","Nord-Est",33,3,9
"19/08/21","Piemonte","Nord-Ovest",254,23,75
"19/08/21","Puglia","Sud",217,7,28
