Regione;N. Laboratori;N. campioni positivi in RT-PCR;N. campioni sequenziati;N. di sequenze ottenute per analisi;B.1.1.7;P.1;B.1.351;P.2;B.1.525;Altre varianti;B1.1.7;P.1;B.1.351;P.2;B.1.525
Abruzzo;2;199;91;91;77;4;0;0;1;9;84,6;4,4;0;0;1,1
Basilicata;2;32;32;28;28;0;0;0;0;0;100,0;0,0;0;0;0,0
Calabria;5;471;35;35;32;2;0;0;0;1;91,4;5,7;0;0;0,0
Campania;3;1225;292;292;276;6;0;0;2;8;94,5;2,1;0;0;0,7
Emilia-Romagna;2;177;177;177;165;12;0;0;0;0;93,2;6,8;0;0;0,0
Friuli-Venezia Giulia;7;66;40;40;38;0;0;0;0;2;95,0;0;0;0;0,0
Lazio;10;215;197;197;157;36;1;0;1;1;79,7;18,3;0,5;0;0,5
Liguria;8;292;38;35;30;3;0;0;0;2;85,7;8,6;0,0;0;0,0
Lombardia;13;296;296;296;264;6;0;0;4;22;89,2;2,0;0,0;0;1,4
Marche;6;45;45;45;42;3;0;0;0;0;93,3;6,7;0,0;0;0,0
Molise;1;49;16;16;16;0;0;0;0;0;100,0;0,0;0,0;0;0,0
P.A. Bolzano;1;53;7;7;6;1;0;0;0;0;85,7;14,3;0,0;0;0,0
P.A. Trento;1;18;18;18;17;1;0;0;0;0;94,4;5,6;0,0;0;0,0
Piemonte;12;150;150;149;135;5;0;0;0;9;90,6;3,4;0,0;0;0,0
Puglia;3;120;120;120;118;1;0;0;0;0;98,3;0,8;0,0;0;0,0
Sardegna;13;303;24;24;23;0;0;0;0;1;95,8;0,0;0,0;0;0,0
Sicilia;5;413;114;112;109;0;0;0;0;3;97,3;0,0;0,0;0;0,0
Toscana;3;222;145;145;124;16;2;0;0;2;85,5;11,0;1,4;0;0,0
Umbria;2;53;27;27;21;4;0;0;2;0;77,8;14,8;0,0;0;7,4
Valle d'Aosta;1;137;7;7;6;1;0;0;0;0;85,7;14,3;0,0;0;0,0
Veneto;13;170;170;170;162;0;1;0;1;6;95,3;0,0;0,6;0;0,6
ITALIA;113;4706;2041;2031;1846;101;4;0;11;66;91,6;4,5;0,1;0,0;0,4
