Regione;N. Laboratori;N. campioni positivi in RT0PCR;N. campioni sequenziati;N. di sequenze ottenute per analisi;B.1.1.7;P.1;B.1.351;B.1.617/2;P.2;B.1.525;Altre varianti;B1.1.7;P.1;B.1.351;B.1.617.1/2;P.2;B.1.525
Abruzzo;2;134;48;48;33;5;0;0;0;8;2;68,8;10,4;0;0;0;16,7
Basilicata;2;27;13;13;12;0;0;0;0;0;1;92,3;0;0;0;0;0
Calabria;2;108;46;46;42;3;0;0;0;1;0;91,3;6,5;0;0;0;2,2
Campania;3;634;230;230;206;22;0;0;0;0;2;89,6;9,6;0;0;0;0
Emilia0Romagna;2;173;173;173;154;13;0;2;0;2;2;89;7,5;0;1,2;0;1,2
Friuli0Venezia Giulia;7;42;27;27;26;0;0;0;0;0;1;96,3;0;0;0;0;0
Lazio;12;170;170;148;95;42;2;5;0;0;4;64,2;28,4;1,4;3,4;0;0
Liguria;7;80;20;20;17;2;0;0;0;0;1;85;10;0;0;0;0
Lombardia;14;282;244;238;212;5;2;6;0;0;13;89,1;2,1;0,8;2,5;0;0
Marche;5;37;19;19;34;0;0;0;0;2;1;91,9;0;0;0;0;10,5
Molise;1;5;5;5;2;3;0;0;0;0;0;40;60;0;0;0;0
P.A. Bolzano;1;41;17;17;11;6;0;0;0;0;0;64,7;35,3;0;0;0;0
P.A. Trento;1;11;11;11;10;1;0;0;0;0;0;90,9;9,1;0;0;0;0
Piemonte;10;143;143;143;134;4;0;1;0;0;5;93,7;2,8;0;0,7;0;0
Puglia;11;96;95;95;94;0;0;1;0;0;0;98,9;0;0;1,1;0;0
Sardegna;10;55;35;35;34;0;0;1;0;0;0;97,1;0;0;2,9;0;0
Sicilia;5;290;147;145;127;7;3;0;0;4;4;87,6;4,8;2,1;0;0;2,8
Toscana;3;56;44;43;37;5;0;0;0;0;1;86;11,6;0;0;0;0
Umbria;3;42;34;34;28;4;0;0;0;0;2;82,4;11,8;0;0;0;0
Valle d'Aosta;1;5;5;5;5;0;0;0;0;0;0;100;0;0;0;0;0
Veneto;14;137;137;137;129;1;0;2;0;0;5;94,2;0,7;0;1,5;0;0
ITALIA;116;2568;1663;1632;1442;123;7;18;0;17;44;88,1;7,3;0,3;1;0;0,8
